1,1,1
2,8,1
3,2,2
4,3,3
5,10,3
6,13,4
7,20,4
8,22,4
9,4,4
10,5,5
11,9,6
12,6,6
13,7,7
14,0,8
15,0,9
16,0,10
17,11,11
18,12,12
19,0,13
20,14,14
21,29,14
22,31,14
23,15,15
24,32,15
25,36,15
26,37,16
27,38,16
28,21,16
29,3,17
30,26,17
31,40,17
32,17,18
33,18,19
34,19,20
35,41,20
36,42,20
37,4,20
38,43,20
39,44,20
40,0,21
41,13,22
42,0,23
43,23,24
44,28,24
45,24,25
46,25,26
47,26,27
48,45,28
49,27,28
50,46,28
51,47,28
52,0,29
53,0,30
54,30,31
55,0,32
56,0,33
57,33,34
58,34,35
59,35,36
60,10,37
61,23,38
