1,18,1
2,11,2
3,1,3
4,18,3
5,35,4
6,50,4
7,15,4
8,27,4
9,13,4
10,31,5
11,4,5
12,4,6
13,43,6
14,31,6
15,11,7
16,2,8
17,41,9
18,33,10
19,5,10
20,41,11
21,41,12
22,6,13
23,28,14
24,41,14
25,4,15
26,31,15
27,8,16
28,40,16
29,44,17
30,10,17
31,11,17
32,22,17
33,35,18
34,46,18
35,39,19
36,3,19
37,31,19
38,40,20
39,17,20
40,34,20
41,38,20
42,8,20
43,16,21
44,16,22
45,11,24
46,11,25
47,48,26
48,49,26
49,48,27
50,25,28
51,42,28
52,14,28
53,45,28
54,24,28
55,29,29
56,36,30
57,40,31
58,41,31
59,9,32
60,47,32
61,9,33
62,47,33
63,23,34
64,26,34
65,21,35
66,40,38
67,19,37
68,18,37
69,7,36
70,37,36
71,18,36
